CID,SMILES
CID10408,CC(C)CCCC(C)CCCC(C)CCCC(=O)C
CID10409,C1CCCCCCCC(=O)CCCCCC1
CID104170,CCCCCCCCCCOC(=O)CCCCC
CID1042026,COC1=C(C=C(C=C1)CCNC(=O)/C=C/C2=CC(=C(C=C2)OC)OC)OC
CID104224,CCCCCCCCCCC(OC)OC
CID10430,CC(C)CC(=O)O
CID104307,CC(C)CCCCC=O
CID10441848,CCCCCCC(O)S
CID104421,CCOC1=NC(=CN=C1)C
CID104425,CCCCCCCCCOC(=O)CC
CID104471,CC(C)CCC1(OCC=CCO1)C
CID10448,CSCCCO
CID104486,CCCCCCCCCCC(OCC)OCC
CID104487,CCCCCCCCCCCC(OCC)OCC
CID1045,C(CCN)CN
CID10451,C1CSCSC1
CID104512,CCCCCCCCOCC=O
CID104513,CC1=C(SC(=N1)CC(C)C)C
CID10452,C1CSCCS1
CID10453,CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O
CID104598,CC(=O)OCC1=CC(=C(C=C1)OC)OC
CID10460,CCCC=CC=O
CID104620,CCCC1=NC(=C(O1)C)C
CID10465,CCCCCCCCCCCCCCCCC(=O)O
CID104721,CC1=CN=C(C(=N1)C)C(=O)C
CID104722,CC1=CN=C(C(=N1)C(=O)C)C
CID10484,CC(=O)S
CID1049,C1=CC=NC=C1
CID105179,CCOCC1=CC=CC=C1OC
CID105426,CC1=C(C(CCC1=O)(C)C)CCC=C
CID105513,CCC1=CC=C(C=C1)CC(C)(C)C=O
CID105516,CC(C)(C)C(=O)OCCC1=CC=CC=C1
CID105537,CCC=CCCC=CCOC(=O)C
CID10558,CC(C)CS
CID105594,COC(=O)C1=CC=CC=C1N=CCC2=CC=CC=C2
CID105595,CCC(=O)OC(C)(C)CC1=CC=CC=C1
CID10560,CCC(C)S
CID105651,CCCCCCCC=NC1=CC=CC=C1C(=O)OC
CID105653,CC(=CCCC(=CC=NC1=CC=CC=C1C(=O)OC)C)C
CID105664,CCOC(=O)OC1CCCCC1C(C)(C)C
CID10569,CC(C)C1=CC2=CC[C@@H]3[C@@]([C@H]2CC1)(CCC[C@@]3(C)C(=O)O)C
